id,vid,date,text,artistLink,name,artist,directorLink,director,sotd,song_id,artist_id
13,uQ_DHRI-Xp0,2016-07-06 15:22:29,"T.D.E aka TOP DAWG ENTERTAINMENT has been killing the rap game for some time now. And veteran member ScHoolboy Q is no exception. His last album, OXYMORON has sold over 300,000 copies to date and was one of our personal favorites from 2014. So it comes as no surprise that ScHoolboy Q has been up to big things since then. His new album, Blank Face LP drops on July 8th, 2016 and we couldn’t be more excited. A new single off the album entitled tHat Part ft. Kanye West was dropped early last month and we can’t stop watching it. This vid is dope! Check it out above.",http://www.schoolboyq.com/,THat Part,ScHoolboy Q,"","",f,,
15,WwxZi_ZK0mw,2016-09-11 19:16:07,"Do yourselves a favor and checkout the group Lawrence. They are doing special things in the music world. Their music spans across a wide array of genres and they’re off to a great start on the music video front. So grab a coffee,a grande latte, or maybe even some Eggo waffles, whatever it is you please and throw this album on. Here is a song off of their recent album "" Breakfast""",lawrencetheband.com,Do You Wanna Do Nothing with Me?,Lawrence,"",Marc Lawrence,f,705,
16,nppKPgdc_u0,2016-09-11 19:19:59,"Since he debuted as a member of XXL Magazine's ""Freshman Class"" in 2014 Isaiah Rashad has been taking over. Not to say his rap group TDE didn't have a helping hand in his inevitable success. Here at Elevate More we are huge fans of both Isaiah Rashad and Top Dawg Entertainment, which is why we we are excited to show you his new video; 4r Da Squaw, directed by Dave Free of the little homies & Christian Sutton. The video depicts Isaiah walking with his son on the Santa Monica Pier and just enjoying life. We get the sense that the TDE vet want's to show his son that life isn't about the money, it's about the joy of just being present. With no cash in his pocket, Isaiah Rashad and his son definitely accomplish that feat. Have a great week and enjoy!",http://txdxe.com/,4r Da Squaw,Isaiah Rashad,"",Dave Free,f,708,
17,,2016-09-23 11:38:44," Over here at Elevate More we are big fans of Mac Miller. His new album THE DEVINE FEMININE is well produced and very fun. It features everyone from CeeLo Green to Ty Dolla $ign and of course one of our favorites Anderson .Paak. Anderson .Paak has been crushing it for a while, with multiple features on Dr Dre's latest album, he definitely feels like the next Kendrick Lamar to us and with everything he has put out we'd say he's coming up in a big way. When Mac and Paak came together on DANG! It was a shoo-in for success. Enjoy, and have a great weekend!",http://macmillerswebsite.com/,Dang! (feat. Anderson .Paak),Mac Miller,"","",f,641,
18,LR3GQfryp9M,2016-09-23 11:40:24,"Over here at Elevate More we are big fans of Mac Miller. His new album THE DEVINE FEMININE is well produced and very fun. It features everyone from CeeLo Green to Ty Dolla $ign and of course one of our favorites Anderson .Paak. Anderson .Paak has been crushing it for a while, with multiple features on Dr Dre's latest album, he definitely feels like the next Kendrick Lamar to us and with everything he has put out we'd say he's coming up in a big way. When Mac and Paak came together on DANG! It was a shoo-in for success. Enjoy, and have a great weekend!",http://macmillerswebsite.com/,Dang! (feat. Anderson .Paak),Mac Miller,"","",f,709,
19,YUYjxf9rHCY,2016-09-28 12:26:17," Walking 450 miles down the California coast to clear your thoughts and film a music video might sound a bit insane, but that’s the length singer-songwriter Marc E. Bassy goes to for his art. A true creative, Marc cites making music as necessary to his health and well-being as food, shelter, or sex. Marc's knack for penning honest, catchy, and heartfelt tunes has served him well for the past several years. The San Francisco-born and Los Angeles-based artist has made quite a name for himself, composing hits for the likes of Wiz Khalifa, 2 Chainz, Chris Brown, Allen Stone, and pop princess PIA MIA, founding the chart-topping pop group 2AM Club, and releasing an independent EP, Only the Poets, which was acclaimed by Billboard, Complex, and SPIN in 2014. However, it was in early 2015 when Marc truly honed his sound while working on music as a form of therapy while crashing at a friend’s pad in downtrodden East Hollywood. He sure has come a long way. Check out his new music video ""You and Me ft. G-Eazy"" It's sure to catch your attention.",http://www.marcebassy.com/,You & Me,Marc E. Bassy,"","",f,714,0
20,5jUGAVUwhRU,2016-10-05 17:28:04,"At the age of 23, Vic Mensa has already established himself as an integral part of Chicago culture, first co-founding the SAVEMONEY collective. His debut mixtape ‘Straight Up’ in 2010, followed by 2013’s ‘INNANETAPE’, brought Mensa’s solo work to a new and larger audience. In addition, The Chicago native’s critically acclaimed 2nd project helped earn him a top spot on XXL Magazine's 2014 freshman class. In 2013 he toured the US with J.Cole and Wale as well as Europe with Danny Brown. In 2014 he released his biggest single yet ""Down On My Luck"", a video which we think is definitely worth watching. This is not your average video, it's creative AF thanks to director Ben Dickinson. Vic Mensa just wrapped a European tour with Justin Bieber in September.",vicmensa.com,Down On My Luck,Vic Mensa,"",Ben Dickinson,f,715,218
21,UqyT8IEBkvY,2016-10-14 14:08:13,"Rap may have overplayed the whole money/extravagance-brag theme but Mars gives the familiar subject a fresh, soulful melodic twist with all the same swagger that the Lil Wayne and Ja Rule brought it way back when. The video shows a casual rockstar who’s enjoying his lavish life without taking it too seriously. It has it’s fair share of bikini models but it’s much more about the bro love he has with his tight-knit crew. Anybody who’s been to a Bruno show will instantly recognize all the video’s characters shown basking in the celebrity lifestyle he clearly shares with them. The fun they’re having looks real because it is real. These guys have been together since the beginning and it shows. There is no real storyline going on here but the video tells so much more than a typical cliche’ narrative video ever could. It peaks into the life of true rockstar and his family of quirky hipster showmen. If this video is intended to be a true day-in-the-life account of the easy-to-love Bruno Mars, I’m buying it. Chill, swag, groovy, hype, lit, and all the above - he’s the total package and so is “24 Magic.” Article by Jon Kunis",http://www.brunomars.com/,24K Magic,Bruno Mars,"",Bruno Mars & Cameron Duddy,f,,
22,9rx0eqQl8wk,2016-10-26 13:03:02,"Shelley Marshaun Massenburg-Smith (try saying that 5 times), better known as his stage name D.R.A.M (an acronym for Does. Real. Ass. Music.), has been absolutely crushing the hip hop game this year. By now you are almost out of the loop if you aren’t familiar with his breakout single “Broccoli” featuring Lil Yachty. Currently we are really hyped on his new video for his song Cash Machine. Making it rain rainbow colored money all over his home town of Hampton, Virginia and playing an animated chalk drawn piano, D.R.A.M is definitely someone to keep track of. In a sea of people trying to all copy each other, it is refreshing to see his new take on rap and videos. So thanks D.R.A.M!! Check out his new album Big Baby D.R.A.M on Spotify, super dope. ",http://www.bigbabydram.com/,Cash Machine,D.R.A.M.,http://www.laceyduke.com/,Lacey Duke,f,718,72
23,YSLb1P0DGJA,2016-10-31 14:33:18," Last month Jon Kunis dropped a cover of JT’s “Cry Me A River.” While he has mostly been a behind the scenes producer working with the likes of Kyle Lucas (G-Easy, Jonny Craig), Needlz (Bruno Mars, Drake), John Frye (Outkast, Jay-Z), and Nox (Akon, Scott Storch), to name a few, Jon has been quietly releasing his own music on Soundcloud and Pandora over the past year. Recently, to keep up the hype while working on his upcoming full length debut, he’s been posting some interesting cover songs on YouTube.    Like all of Jon’s covers, “Cry Me A River” is a completely new take on the original. With nothing but a loop pedal, guitar, and some beatboxing, the cover sounds like a full groovin’ band. The lyrics will be familiar to any 90s kid, but this might as well be a different song - melodic embellishments, soulful growls, smokey timbres, etc… Something we found interesting was that Jon filmed the entire thing by himself and then digitally edited it to look like he had a camera crew. A must watch for any fans of the original, and for anybody into engaging Pop that keeps you interested all the way through. ",soundcloud.com/jonkunis,CRY ME A RIVER,Jon Kunis (Cover),"","",f,755,377
24,b8m9zhNAgKs,2016-11-10 14:19:32,"You could say the Mike Will Made-It blew them up but this duo was bound to pop off at some point. Are they actually the next “Black Beatles”? Certainly not, but they sure live flashier then the Beatles. Rae Sremmurd is made up of 2 brothers from Atlanta; Swae Lee and Slim Jxmmi. As we have seen with the internationally famed brother DJ duo DVBBS, musically talented brothers are a sure fire for success. Their singles No Flex Zone and No Type went platinum. There new hit single Black Beatles featuring Gucci Mane ensures these brothers have a permanent spot in the hip-hop game. Check out the video here.","",Black Beatles,Rae Sremmurd,"","",f,756,249
25,i4ooH8frBWg,2016-12-06 11:21:07,"In a world full of artist desperately trying to grab a contract and get signed, there is a group of renegade musicians sticking it to the industry with unavoidably infectious music. Donnie Trumpet & the Social Experiment is group of musicians put together by Nico Segal (aka Donnie Trumpet) and includes Chance the Rapper, Peter Cottontale, Greg Landfair Jr. and Nate Fox. Their debut album Surf was met with high praise from critics and fans for its wide range of musical arrangements and Chance calling on a number of famous friends to add vocals all over the album. But the hit single and the video that accompanied it seem to be what stood out the most. Sunday Candy, a tribute to Chance’s grandmother, is a soulful hip-hop (instant) classic. Directed by Austin Vesely, Ian Eastwood and Chance The Rapper, the music video is a one cut musical throwback, with a 50’s vibe, a hip-hop style theatrical dance routine, and Chance being Chance. Who knew that going old-school was the key to bring fun back into hip-hop and music videos in general? To all the unsigned artists out there, take notes. Your just one undeniably amazing music video away from saying “Thanks, but no thanks” to the contract and blowing up all on your own. Sunday Candy has 5 million views and counting; can't wait to see what the Social Experiment puts out next. ",http://nicosegal.com/videos/,Sunday Candy,Donnie Trumpet & The Social Experiment,http://www.ian-eastwood.com/,"Austin Vesely, Ian Eastwood & Chance The Rapper",f,574,378
26,sqM3APrfijU,2016-12-22 21:08:51,"A minute for each sense to fall in love. French duo ‘Her’ channel the sexuality and mystique of females everywhere in their most recent EP of the same name, with its hit single ‘Five Minutes’ being no exception. The song’s R&B-esque, pop-y mix of finger snaps, guitar, and smooth vocals create a sense of mysteriousness, both lyrically and visually. ‘Five Minutes’ is the time it takes to create a genuine connection with a romantic interest, one minute dedicated to each of the senses. But visually, the video tells a slightly different story, focused on the different aspects of women and more broadly humankind. Piety, maternal instincts, and sinful temptation are all highlighted with clean, sweeping shots culminating in a pretty bomb video.  It’s one of my personal favorites. ‘Her’ has been breaking out into the U.S. market, so stay tuned for more sensual delights from the pair.",https://www.facebook.com/thebandher/,Five Minutes,Her,http://liswaya.tumblr.com/,"",f,651,380
